Package,LibPath,Version,Priority,Built
minqa,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.4,NA,3.6.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
modelr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.5,NA,3.6.0
modeltools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-22,NA,3.6.0
MODIS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.5,NA,3.6.0
MODISTools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
MODIStsp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.9,NA,3.6.0
multcomp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-10,NA,3.6.0
munsell,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-11,NA,3.6.0
ncdf4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.16.1,NA,3.6.0
nlme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-141,recommended,3.6.0
nloptr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.1,NA,3.6.0
nnet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-12,recommended,3.6.0
numDeriv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2016.8-1.1,NA,3.6.0
openrouteservice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
openssl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
openxlsx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.1.0.1,NA,3.6.0
packrat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
pacman,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
parallel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
patchwork,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.1,NA,3.6.0
pbapply,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-1,NA,3.6.0
pbkrtest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-7,NA,3.6.0
pbmcapply,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.0,NA,3.6.0
pbs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
pillar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
pkgbuild,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.3,NA,3.6.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
pkgdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
pkgload,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.0
plogr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
plotly,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.9.0,NA,3.6.0
plotROC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.1,NA,3.6.0
plyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.5,NA,3.6.0
png,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-7,NA,3.6.0
poLCA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
polspline,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.17,NA,3.6.0
polyclip,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.10-0,NA,3.6.0
polynom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-0,NA,3.6.0
prabclus,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3-1,NA,3.6.0
praise,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
prefixer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.2,NA,3.6.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.0
printr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1,NA,3.6.0
pROC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.15.3,NA,3.6.0
processx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.4.1,NA,3.6.0
prodlim,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2018.04.18,NA,3.6.0
profvis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.6,NA,3.6.0
progress,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
promises,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
ps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.0,NA,3.6.0
pscl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.2,NA,3.6.0
ptw,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.9-13,NA,3.6.0
purrr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3,NA,3.6.0
quantreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.41,NA,3.6.0
quickPlot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.6,NA,3.6.0
R.cache,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.13.0,NA,3.6.0
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.1,NA,3.6.0
R.oo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.23.0,NA,3.6.0
R.utils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.9.2,NA,3.6.0
R6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4.1,NA,3.6.0
randomForest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.6-14,NA,3.6.0
ranger,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11.2,NA,3.6.0
rapidjsonr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
rappdirs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
raster,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0-7,NA,3.6.0
rasterVis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.45,NA,3.6.0
rattle,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.2.0,NA,3.6.0
rcmdcheck,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.3,NA,3.6.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-2,NA,3.6.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.3,NA,3.6.0
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.800.1.0,NA,3.6.0
RcppEigen,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3.7.0,NA,3.6.0
RCurl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.95-4.12,NA,3.6.0
readr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
readxl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
recipes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.6,NA,3.6.0
